DATE,Date,electricity_price,
1/1/1992,1/1/1992,0.062,
2/1/1992,2/1/1992,0.062,
3/1/1992,3/1/1992,0.062,
4/1/1992,4/1/1992,0.062,
5/1/1992,5/1/1992,0.079,
6/1/1992,6/1/1992,0.079,
7/1/1992,7/1/1992,0.079,
8/1/1992,8/1/1992,0.079,
9/1/1992,9/1/1992,0.079,
10/1/1992,10/1/1992,0.079,
11/1/1992,11/1/1992,0.063,
12/1/1992,12/1/1992,0.062,
1/1/1993,1/1/1993,0.062,
2/1/1993,2/1/1993,0.062,
3/1/1993,3/1/1993,0.062,
4/1/1993,4/1/1993,0.062,
5/1/1993,5/1/1993,0.079,
6/1/1993,6/1/1993,0.079,
7/1/1993,7/1/1993,0.079,
8/1/1993,8/1/1993,0.079,
9/1/1993,9/1/1993,0.092,
10/1/1993,10/1/1993,0.092,
11/1/1993,11/1/1993,0.073,
12/1/1993,12/1/1993,0.072,
1/1/1994,1/1/1994,0.073,
2/1/1994,2/1/1994,0.074,
3/1/1994,3/1/1994,0.073,
4/1/1994,4/1/1994,0.074,
5/1/1994,5/1/1994,0.073,
6/1/1994,6/1/1994,0.086,
7/1/1994,7/1/1994,0.086,
8/1/1994,8/1/1994,0.086,
9/1/1994,9/1/1994,0.074,
10/1/1994,10/1/1994,0.086,
11/1/1994,11/1/1994,0.073,
12/1/1994,12/1/1994,0.072,
1/1/1995,1/1/1995,0.075,
2/1/1995,2/1/1995,0.074,
3/1/1995,3/1/1995,0.075,
4/1/1995,4/1/1995,0.075,
5/1/1995,5/1/1995,0.074,
6/1/1995,6/1/1995,0.088,
7/1/1995,7/1/1995,0.086,
8/1/1995,8/1/1995,0.086,
9/1/1995,9/1/1995,0.077,
10/1/1995,10/1/1995,0.086,
11/1/1995,11/1/1995,0.072,
12/1/1995,12/1/1995,0.072,
1/1/1996,1/1/1996,0.072,
2/1/1996,2/1/1996,0.062,
3/1/1996,3/1/1996,0.072,
4/1/1996,4/1/1996,0.072,
5/1/1996,5/1/1996,0.072,
6/1/1996,6/1/1996,0.086,
7/1/1996,7/1/1996,0.087,
8/1/1996,8/1/1996,0.087,
9/1/1996,9/1/1996,0.087,
10/1/1996,10/1/1996,0.086,
11/1/1996,11/1/1996,0.072,
12/1/1996,12/1/1996,0.072,
1/1/1997,1/1/1997,0.072,
2/1/1997,2/1/1997,0.072,
3/1/1997,3/1/1997,0.072,
4/1/1997,4/1/1997,0.072,
5/1/1997,5/1/1997,0.072,
6/1/1997,6/1/1997,0.087,
7/1/1997,7/1/1997,0.087,
8/1/1997,8/1/1997,0.072,
9/1/1997,9/1/1997,0.087,
10/1/1997,10/1/1997,0.087,
11/1/1997,11/1/1997,0.072,
12/1/1997,12/1/1997,0.072,
1/1/1998,1/1/1998,0.070,
2/1/1998,2/1/1998,0.071,
