DATE,Date,gas_price
01-01-1992,01-01-1992,0.72
02-01-1992,02-01-1992,0.706
03-01-1992,03-01-1992,0.722
04-01-1992,04-01-1992,0.714
05-01-1992,05-01-1992,0.744
06-01-1992,06-01-1992,0.746
07-01-1992,07-01-1992,0.748
08-01-1992,08-01-1992,0.752
09-01-1992,09-01-1992,0.725
10-01-1992,10-01-1992,0.731
11-01-1992,11-01-1992,0.74
12-01-1992,12-01-1992,0.739
01-01-1993,01-01-1993,0.743
02-01-1993,02-01-1993,0.744
03-01-1993,03-01-1993,0.74
04-01-1993,04-01-1993,0.718
05-01-1993,05-01-1993,0.711
06-01-1993,06-01-1993,0.723
07-01-1993,07-01-1993,0.72
08-01-1993,08-01-1993,0.765
09-01-1993,09-01-1993,0.753
10-01-1993,10-01-1993,0.764
11-01-1993,11-01-1993,0.773
12-01-1993,12-01-1993,0.754
01-01-1994,01-01-1994,0.728
02-01-1994,02-01-1994,0.706
03-01-1994,03-01-1994,0.71
04-01-1994,04-01-1994,0.723
05-01-1994,05-01-1994,0.73
06-01-1994,06-01-1994,0.726
07-01-1994,07-01-1994,0.763
08-01-1994,08-01-1994,0.759
09-01-1994,09-01-1994,0.765
10-01-1994,10-01-1994,0.754
11-01-1994,11-01-1994,0.734
12-01-1994,12-01-1994,0.715
01-01-1995,01-01-1995,0.706
02-01-1995,02-01-1995,0.751
03-01-1995,03-01-1995,0.801
04-01-1995,04-01-1995,0.803
05-01-1995,05-01-1995,0.702
06-01-1995,06-01-1995,0.731
07-01-1995,07-01-1995,0.759
08-01-1995,08-01-1995,0.762
09-01-1995,09-01-1995,0.77
10-01-1995,10-01-1995,0.752
11-01-1995,11-01-1995,0.607
12-01-1995,12-01-1995,0.58
01-01-1996,01-01-1996,0.598
02-01-1996,02-01-1996,0.59
03-01-1996,03-01-1996,0.588
04-01-1996,04-01-1996,0.634
05-01-1996,05-01-1996,0.573
06-01-1996,06-01-1996,0.585
07-01-1996,07-01-1996,0.57
08-01-1996,08-01-1996,0.613
09-01-1996,09-01-1996,0.605
10-01-1996,10-01-1996,0.574
11-01-1996,11-01-1996,0.6
12-01-1996,12-01-1996,0.599
01-01-1997,01-01-1997,0.707
02-01-1997,02-01-1997,0.754
03-01-1997,03-01-1997,0.593
04-01-1997,04-01-1997,0.432
05-01-1997,05-01-1997,0.443
06-01-1997,06-01-1997,0.558
07-01-1997,07-01-1997,0.597
08-01-1997,08-01-1997,0.556
